ID, Method, Class, Line, LineNo
0, com.newsblur.network.APIResponse post_single(java.lang.String;okhttp3.RequestBody), com.newsblur.network.APIManager, $r6 = virtualinvoke $r6.<okhttp3.Request$Builder: okhttp3.Request$Builder url(java.lang.String)>($r1), 648
1, com.newsblur.network.APIResponse post_single(java.lang.String;okhttp3.RequestBody), com.newsblur.network.APIManager, specialinvoke $r6.<okhttp3.Request$Builder: void <init>()>(), 646
2, com.newsblur.network.APIResponse post_single(java.lang.String;okhttp3.RequestBody), com.newsblur.network.APIManager, $r6 = new okhttp3.Request$Builder, 644
3, com.newsblur.network.APIResponse post_single(java.lang.String;okhttp3.RequestBody), com.newsblur.network.APIManager, if $z0 != 0 goto label1, 633
4, com.newsblur.network.APIResponse post_single(java.lang.String;okhttp3.RequestBody), com.newsblur.network.APIManager, $z0 = staticinvoke <com.newsblur.util.NetworkUtils: boolean isOnline(android.content.Context)>($r4), 631
5, com.newsblur.network.APIResponse post_single(java.lang.String;okhttp3.RequestBody), com.newsblur.network.APIManager, $r4 = r0.<com.newsblur.network.APIManager: android.content.Context context>, 629
6, void <init>(), okhttp3.Request$Builder, r0.<okhttp3.Request$Builder: okhttp3.Headers$Builder headers> = $r1, 22
7, void <init>(), okhttp3.Request$Builder, specialinvoke $r1.<okhttp3.Headers$Builder: void <init>()>(), 20
8, void <init>(), okhttp3.Request$Builder, $r1 = new okhttp3.Headers$Builder, 18
9, void <init>(), okhttp3.Request$Builder, r0.<okhttp3.Request$Builder: java.lang.String method> = "GET", 16
10, void <init>(), okhttp3.Request$Builder, specialinvoke r0.<java.lang.Object: void <init>()>(), 14
11, void <init>(), okhttp3.Headers$Builder, r0.<okhttp3.Headers$Builder: java.util.List namesAndValues> = $r1, 16
12, void <init>(), okhttp3.Headers$Builder, specialinvoke $r1.<java.util.ArrayList: void <init>(int)>(20), 14
13, void <init>(), okhttp3.Headers$Builder, $r1 = new java.util.ArrayList, 12
14, void <init>(), okhttp3.Headers$Builder, specialinvoke r0.<java.lang.Object: void <init>()>(), 10
15, boolean isOnline(android.content.Context), com.newsblur.util.NetworkUtils, return 1, 73
16, boolean isOnline(android.content.Context), com.newsblur.util.NetworkUtils, if $z0 == 0 goto label1, 71
17, boolean isOnline(android.content.Context), com.newsblur.util.NetworkUtils, $z0 = virtualinvoke $r3.<android.net.NetworkInfo: boolean isConnected()>(), 69
18, boolean isOnline(android.content.Context), com.newsblur.util.NetworkUtils, if $r3 == null goto label1, 67
19, boolean isOnline(android.content.Context), com.newsblur.util.NetworkUtils, $r3 = virtualinvoke r2.<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>(), 65
20, boolean isOnline(android.content.Context), com.newsblur.util.NetworkUtils, r2 = (android.net.ConnectivityManager) $r1, 63
