ID, Method, Class, Line,
0, long getDateMidnightMillis(int;int;int), org.joda.time.chrono.BasicChronology, return $l5, 653, 
1, long getDateMidnightMillis(int;int;int), org.joda.time.chrono.BasicChronology, $l5 = virtualinvoke r0.<org.joda.time.chrono.BasicChronology: long getYearMonthDayMillis(int;int;int)>($i0; $i1; $i2), 651, 
2, long getDateMidnightMillis(int;int;int), org.joda.time.chrono.BasicChronology, staticinvoke <org.joda.time.field.FieldUtils: void verifyValueBounds(org.joda.time.DateTimeFieldType;int;int;int)>($r1; $i2; 1; $i3), 649, 
3, long getDateMidnightMillis(int;int;int), org.joda.time.chrono.BasicChronology, $i3 = virtualinvoke r0.<org.joda.time.chrono.BasicChronology: int getDaysInYearMonth(int;int)>($i0; $i1), 647, 
4, long getDateMidnightMillis(int;int;int), org.joda.time.chrono.BasicChronology, $r1 = staticinvoke <org.joda.time.DateTimeFieldType: org.joda.time.DateTimeFieldType dayOfMonth()>(), 645, 
5, org.joda.time.DateTimeFieldType dayOfMonth(), org.joda.time.DateTimeFieldType, return r0, 510, 
6, org.joda.time.DateTimeFieldType dayOfMonth(), org.joda.time.DateTimeFieldType, r0 = <org.joda.time.DateTimeFieldType: org.joda.time.DateTimeFieldType DAY_OF_MONTH_TYPE>, 508, 
7, int getDaysInYearMonth(int;int), org.joda.time.chrono.BasicGJChronology, return $i0, 211, 
8, int getDaysInYearMonth(int;int), org.joda.time.chrono.BasicGJChronology, $i0 = $r1[$i0], 209, 
9, int getDaysInYearMonth(int;int), org.joda.time.chrono.BasicGJChronology, $i0 = $i1 + -1, 207, 
10, int getDaysInYearMonth(int;int), org.joda.time.chrono.BasicGJChronology, $r1 = <org.joda.time.chrono.BasicGJChronology: int[] MAX_DAYS_PER_MONTH_ARRAY>, 205, 
11, int getDaysInYearMonth(int;int), org.joda.time.chrono.BasicGJChronology, if $z0 == 0 goto label1, 203, 
12, int getDaysInYearMonth(int;int), org.joda.time.chrono.BasicGJChronology, $z0 = virtualinvoke r0.<org.joda.time.chrono.BasicGJChronology: boolean isLeapYear(int)>($i0), 201, 
13, boolean isLeapYear(int), org.joda.time.chrono.GregorianChronology, return 1, 395, 
14, boolean isLeapYear(int), org.joda.time.chrono.GregorianChronology, if $i1 != 0 goto label2, 384, 
15, boolean isLeapYear(int), org.joda.time.chrono.GregorianChronology, $i1 = $i0 & 3, 382, 
16, long getDateTimeMillis(int;int;int;int), org.joda.time.chrono.BasicChronology, return $l4, 692, 
17, long getDateTimeMillis(int;int;int;int), org.joda.time.chrono.BasicChronology, $l4 = $l4 + $l5, 690, 
18, long getDateTimeMillis(int;int;int;int), org.joda.time.chrono.BasicChronology, $l5 = (long) $i3, 688, 
19, long getDateTimeMillis(int;int;int;int), org.joda.time.chrono.BasicChronology, $l4 = virtualinvoke r0.<org.joda.time.chrono.BasicChronology: long getDateMidnightMillis(int;int;int)>($i0; $i1; $i2), 686, 
20, long getDateTimeMillis(int;int;int;int), org.joda.time.chrono.BasicChronology, if $r1 == null goto label1, 675, 
21, long getDateTimeMillis(int;int;int;int), org.joda.time.chrono.BasicChronology, $r1 = virtualinvoke r0.<org.joda.time.chrono.BasicChronology: org.joda.time.Chronology getBase()>(), 673, 
22, org.joda.time.Chronology getBase(), org.joda.time.chrono.AssembledChronology, return r1, 748, 
23, org.joda.time.Chronology getBase(), org.joda.time.chrono.AssembledChronology, r1 = r0.<org.joda.time.chrono.AssembledChronology: org.joda.time.Chronology iBase>, 746, 
24, long getDateTimeMillis(int;int;int;int), org.joda.time.chrono.AssembledChronology, return $l5, 779, 
25, long getDateTimeMillis(int;int;int;int), org.joda.time.chrono.AssembledChronology, $l5 = virtualinvoke $r1.<org.joda.time.Chronology: long getDateTimeMillis(int;int;int;int)>($i0; $i1; $i2; $i3), 777, 
26, long getDateTimeMillis(int;int;int;int), org.joda.time.chrono.AssembledChronology, if $i4 != 6 goto label1, 775, 
27, long getDateTimeMillis(int;int;int;int), org.joda.time.chrono.AssembledChronology, $i4 = $i4 & 6, 773, 
28, long getDateTimeMillis(int;int;int;int), org.joda.time.chrono.AssembledChronology, $i4 = r0.<org.joda.time.chrono.AssembledChronology: int iBaseFlags>, 771, 
29, long getDateTimeMillis(int;int;int;int), org.joda.time.chrono.AssembledChronology, if $r1 == null goto label1, 769, 
30, long getDateTimeMillis(int;int;int;int), org.joda.time.chrono.AssembledChronology, $r1 = r0.<org.joda.time.chrono.AssembledChronology: org.joda.time.Chronology iBase>, 767, 
31, void <init>(int;int;int;org.joda.time.Chronology), org.joda.time.LocalDate, $l3 = virtualinvoke $r1.<org.joda.time.Chronology: long getDateTimeMillis(int;int;int;int)>($i0; $i1; $i2; 0), 125, 
32, void <init>(int;int;int), org.joda.time.LocalDate, specialinvoke r0.<org.joda.time.LocalDate: void <init>(int;int;int;org.joda.time.Chronology)>($i0; $i1; $i2; $r1), 98, 
33, void <init>(int;int;int), org.joda.time.LocalDate, $r1 = staticinvoke <org.joda.time.chrono.ISOChronology: org.joda.time.chrono.ISOChronology getInstanceUTC()>(), 96, 
34, com.alexstyl.specialdates.events.i a(int;int;int), com.alexstyl.specialdates.events.i, specialinvoke $r0.<org.joda.time.LocalDate: void <init>(int;int;int)>($i2; $i1; $i0), 77, 
35, java.lang.String a(com.alexstyl.specialdates.b.a), com.alexstyl.specialdates.events.g, $r2 = staticinvoke <com.alexstyl.specialdates.events.i: com.alexstyl.specialdates.events.i a(int;int;int)>($i0; $i1; $i2), 175, 
36, java.lang.String a(com.alexstyl.specialdates.b.a), com.alexstyl.specialdates.events.g, $i2 = virtualinvoke $r1.<com.alexstyl.specialdates.b.a: int c()>(), 173, 
37, java.lang.String a(com.alexstyl.specialdates.b.a), com.alexstyl.specialdates.events.g, $i1 = virtualinvoke $r1.<com.alexstyl.specialdates.b.a: int b()>(), 171, 
38, java.lang.String a(com.alexstyl.specialdates.b.a), com.alexstyl.specialdates.events.g, $i0 = virtualinvoke $r1.<com.alexstyl.specialdates.b.a: int a()>(), 169, 
39, int a(), com.alexstyl.specialdates.b.a, return $i0, 77, 
40, int a(), com.alexstyl.specialdates.b.a, $i0 = virtualinvoke $r1.<com.alexstyl.specialdates.events.a: int a()>(), 75, 
41, int a(), com.alexstyl.specialdates.events.a, return i0, 32, 
42, int a(), com.alexstyl.specialdates.events.a, i0 = r0.<com.alexstyl.specialdates.events.a: int a>, 30, 
43, int b(), com.alexstyl.specialdates.b.a, return $i0, 106, 
44, int b(), com.alexstyl.specialdates.b.a, $i0 = virtualinvoke $r1.<com.alexstyl.specialdates.events.a: int b()>(), 104, 
45, int b(), com.alexstyl.specialdates.events.a, return i0, 43, 
46, int b(), com.alexstyl.specialdates.events.a, i0 = r0.<com.alexstyl.specialdates.events.a: int b>, 41, 
47, int c(), com.alexstyl.specialdates.b.a, return i0, 117, 
48, int c(), com.alexstyl.specialdates.b.a, i0 = r0.<com.alexstyl.specialdates.b.a: int b>, 115, 
49, void a(com.alexstyl.specialdates.b.a), com.alexstyl.specialdates.addevent.BirthdayLabelView, $r3 = virtualinvoke $r4.<com.alexstyl.specialdates.events.g: java.lang.String a(com.alexstyl.specialdates.b.a)>($r1), 108, 
50, void a(com.alexstyl.specialdates.b.a), com.alexstyl.specialdates.addevent.j, virtualinvoke $r2.<com.alexstyl.specialdates.addevent.BirthdayLabelView: void a(com.alexstyl.specialdates.b.a)>($r1), 128, 
51, void a(com.alexstyl.specialdates.b.a), com.alexstyl.specialdates.addevent.e, virtualinvoke $r2.<com.alexstyl.specialdates.addevent.j: void a(com.alexstyl.specialdates.b.a)>($r1), 33, 
52, void onClick(android.content.DialogInterface;int), com.alexstyl.specialdates.addevent.o, interfaceinvoke $r3.<com.alexstyl.specialdates.addevent.p: void a(com.alexstyl.specialdates.b.a)>($r5), 44, 
53, void onClick(android.content.DialogInterface;int), com.alexstyl.specialdates.addevent.o, $r5 = virtualinvoke $r4.<com.alexstyl.specialdates.addevent.ui.BirthdayDatePicker: com.alexstyl.specialdates.b.a getDisplayingBirthday()>(), 42, 
54, void <init>(int;int;int), com.alexstyl.specialdates.b.a, specialinvoke $r1.<com.alexstyl.specialdates.events.a: void <init>(int;int)>($i0; $i1), 37, 
55, void <init>(int;int), com.alexstyl.specialdates.events.a, r0.<com.alexstyl.specialdates.events.a: int b> = $i1, 19, 
56, void <init>(int;int), com.alexstyl.specialdates.events.a, r0.<com.alexstyl.specialdates.events.a: int a> = $i0, 17, 
57, com.alexstyl.specialdates.b.a getDisplayingBirthday(), com.alexstyl.specialdates.addevent.ui.BirthdayDatePicker, specialinvoke $r1.<com.alexstyl.specialdates.b.a: void <init>(int;int;int)>($i0; $i1; $i2), 279, 
58, com.alexstyl.specialdates.b.a getDisplayingBirthday(), com.alexstyl.specialdates.addevent.ui.BirthdayDatePicker, $r1 = new com.alexstyl.specialdates.b.a, 277, 
59, com.alexstyl.specialdates.b.a getDisplayingBirthday(), com.alexstyl.specialdates.addevent.ui.BirthdayDatePicker, if $z0 == 0 goto label1, 273, 
60, com.alexstyl.specialdates.b.a getDisplayingBirthday(), com.alexstyl.specialdates.addevent.ui.BirthdayDatePicker, $z0 = specialinvoke r0.<com.alexstyl.specialdates.addevent.ui.BirthdayDatePicker: boolean d()>(), 271, 
