ID, Method, Class, Line,
0, void onStart(android.content.Intent;int), com.rigid.birthdroid.BirthdroidWidget$BirthdroidService, $i0 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($r8), 72
1, void onStart(android.content.Intent;int), com.rigid.birthdroid.BirthdroidWidget$BirthdroidService, $r8 = virtualinvoke r3.<com.rigid.birthdroid.Settings: java.lang.String getString(java.lang.String;java.lang.String)>("widget_future_days"; $r8), 70
2, void onStart(android.content.Intent;int), com.rigid.birthdroid.BirthdroidWidget$BirthdroidService, $r8 = staticinvoke <java.lang.Integer: java.lang.String toString(int)>($i0), 68
3, void onStart(android.content.Intent;int), com.rigid.birthdroid.BirthdroidWidget$BirthdroidService, $i0 = virtualinvoke $r6.<android.content.res.Resources: int getInteger(int)>(2131361793), 66
4, void onStart(android.content.Intent;int), com.rigid.birthdroid.BirthdroidWidget$BirthdroidService, specialinvoke r3.<com.rigid.birthdroid.Settings: void <init>(android.content.Context)>($r7), 54
5, void onStart(android.content.Intent;int), com.rigid.birthdroid.BirthdroidWidget$BirthdroidService, $r7 = virtualinvoke r0.<com.rigid.birthdroid.BirthdroidWidget$BirthdroidService: android.content.Context getApplicationContext()>(), 52
6, void onStart(android.content.Intent;int), com.rigid.birthdroid.BirthdroidWidget$BirthdroidService, r3 = new com.rigid.birthdroid.Settings, 50
7, void onStart(android.content.Intent;int), com.rigid.birthdroid.BirthdroidWidget$BirthdroidService, $r6 = virtualinvoke r0.<com.rigid.birthdroid.BirthdroidWidget$BirthdroidService: android.content.res.Resources getResources()>(), 48
8, java.lang.String getString(java.lang.String;java.lang.String), com.rigid.birthdroid.Settings, return $r1, 96
9, java.lang.String getString(java.lang.String;java.lang.String), com.rigid.birthdroid.Settings, $r1 = interfaceinvoke $r3.<android.content.SharedPreferences: java.lang.String getString(java.lang.String;java.lang.String)>($r1; $r2), 94
10, java.lang.String getString(java.lang.String;java.lang.String), com.rigid.birthdroid.Settings, $r3 = r0.<com.rigid.birthdroid.Settings: android.content.SharedPreferences _prefs>, 92
11, void <init>(android.content.Context), com.rigid.birthdroid.Settings, r0.<com.rigid.birthdroid.Settings: android.content.SharedPreferences$Editor _edit> = $r5, 42
12, void <init>(android.content.Context), com.rigid.birthdroid.Settings, $r5 = interfaceinvoke $r4.<android.content.SharedPreferences: android.content.SharedPreferences$Editor edit()>(), 40
13, void <init>(android.content.Context), com.rigid.birthdroid.Settings, $r4 = r0.<com.rigid.birthdroid.Settings: android.content.SharedPreferences _prefs>, 38
14, void <init>(android.content.Context), com.rigid.birthdroid.Settings, r0.<com.rigid.birthdroid.Settings: android.content.SharedPreferences _prefs> = $r4, 36
15, void <init>(android.content.Context), com.rigid.birthdroid.Settings, $r4 = virtualinvoke $r1.<android.content.Context: android.content.SharedPreferences getSharedPreferences(java.lang.String;int)>($r3; 0), 34
16, void <init>(android.content.Context), com.rigid.birthdroid.Settings, $r3 = virtualinvoke $r2.<java.lang.StringBuilder: java.lang.String toString()>(), 32
17, void <init>(android.content.Context), com.rigid.birthdroid.Settings, $r2 = virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("_preferences"), 30
18, void <init>(android.content.Context), com.rigid.birthdroid.Settings, $r2 = virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r3), 28
19, void <init>(android.content.Context), com.rigid.birthdroid.Settings, $r3 = virtualinvoke $r1.<android.content.Context: java.lang.String getPackageName()>(), 26
20, void <init>(android.content.Context), com.rigid.birthdroid.Settings, specialinvoke $r2.<java.lang.StringBuilder: void <init>()>(), 24
21, void <init>(android.content.Context), com.rigid.birthdroid.Settings, $r2 = new java.lang.StringBuilder, 22
