ID, Method, Class, Line,
0, com.mikepenz.fastadapter.adapters.ItemAdapter remove(int), com.mikepenz.fastadapter.adapters.ItemAdapter, interfaceinvoke $r1.<java.util.List: java.lang.Object remove(int)>($i1), 530
1, com.mikepenz.fastadapter.adapters.ItemAdapter remove(int), com.mikepenz.fastadapter.adapters.ItemAdapter, $i1 = $i0 - $i1, 528
2, com.mikepenz.fastadapter.adapters.ItemAdapter remove(int), com.mikepenz.fastadapter.adapters.ItemAdapter, $i1 = virtualinvoke $r2.<com.mikepenz.fastadapter.FastAdapter: int getPreItemCount(int)>($i0), 526
3, com.mikepenz.fastadapter.adapters.ItemAdapter remove(int), com.mikepenz.fastadapter.adapters.ItemAdapter, $r1 = r0.<com.mikepenz.fastadapter.adapters.ItemAdapter: java.util.List mItems>, 522
4, com.mikepenz.fastadapter.FastAdapter getFastAdapter(), com.mikepenz.fastadapter.AbstractAdapter, return r1, 22
5, com.mikepenz.fastadapter.FastAdapter getFastAdapter(), com.mikepenz.fastadapter.AbstractAdapter, r1 = r0.<com.mikepenz.fastadapter.AbstractAdapter: com.mikepenz.fastadapter.FastAdapter mFastAdapter>, 20
6, int getPreItemCount(int), com.mikepenz.fastadapter.FastAdapter, return $i0, 1355
7, int getPreItemCount(int), com.mikepenz.fastadapter.FastAdapter, $i0 = virtualinvoke $r2.<java.lang.Integer: int intValue()>(), 1353
8, int getPreItemCount(int), com.mikepenz.fastadapter.FastAdapter, $r2 = (java.lang.Integer) $r3, 1351
9, int getPreItemCount(int), com.mikepenz.fastadapter.FastAdapter, $r3 = interfaceinvoke $r1.<java.util.NavigableMap: java.lang.Object floorKey(java.lang.Object)>($r2), 1349
10, int getPreItemCount(int), com.mikepenz.fastadapter.FastAdapter, $r2 = staticinvoke <java.lang.Integer: java.lang.Integer valueOf(int)>($i0), 1347
11, int getPreItemCount(int), com.mikepenz.fastadapter.FastAdapter, $r1 = r0.<com.mikepenz.fastadapter.FastAdapter: java.util.NavigableMap mAdapterSizes>, 1345
12, int getPreItemCount(int), com.mikepenz.fastadapter.FastAdapter, if $i1 != 0 goto label1, 1340
13, int getPreItemCount(int), com.mikepenz.fastadapter.FastAdapter, $i1 = r0.<com.mikepenz.fastadapter.FastAdapter: int mGlobalSize>, 1338
14, android.support.design.widget.Snackbar remove(android.view.View;java.lang.String;java.lang.String;int;java.util.Set), com.mikepenz.fastadapter_extensions.UndoHelper, r0.<com.mikepenz.fastadapter_extensions.UndoHelper: com.mikepenz.fastadapter_extensions.UndoHelper$History mHistory> = r5, 348
15, android.support.design.widget.Snackbar remove(android.view.View;java.lang.String;java.lang.String;int;java.util.Set), com.mikepenz.fastadapter_extensions.UndoHelper, $z0 = interfaceinvoke $r7.<java.util.Iterator: boolean hasNext()>(), 327
16, android.support.design.widget.Snackbar remove(android.view.View;java.lang.String;java.lang.String;int;java.util.Set), com.mikepenz.fastadapter_extensions.UndoHelper, $r7 = interfaceinvoke r4.<java.util.Set: java.util.Iterator iterator()>(), 324
17, void doChange(), com.mikepenz.fastadapter_extensions.UndoHelper, interfaceinvoke $r8.<com.mikepenz.fastadapter.IItemAdapter: com.mikepenz.fastadapter.IItemAdapter remove(int)>($i1), 128
18, void doChange(), com.mikepenz.fastadapter_extensions.UndoHelper, $i1 = virtualinvoke $r9.<java.lang.Integer: int intValue()>(), 126
19, void doChange(), com.mikepenz.fastadapter_extensions.UndoHelper, $r9 = r1[$i0], 124
20, void doChange(), com.mikepenz.fastadapter_extensions.UndoHelper, $r8 = (com.mikepenz.fastadapter.IItemAdapter) $r7, 122
21, void doChange(), com.mikepenz.fastadapter_extensions.UndoHelper, $r7 = r6.<com.mikepenz.fastadapter.FastAdapter$RelativeInfo: com.mikepenz.fastadapter.IAdapter adapter>, 120
22, void doChange(), com.mikepenz.fastadapter_extensions.UndoHelper, if $z0 == 0 goto label2, 118
23, void doChange(), com.mikepenz.fastadapter_extensions.UndoHelper, $z0 = $r7 instanceof com.mikepenz.fastadapter.IItemAdapter, 116
24, void doChange(), com.mikepenz.fastadapter_extensions.UndoHelper, $r7 = r6.<com.mikepenz.fastadapter.FastAdapter$RelativeInfo: com.mikepenz.fastadapter.IAdapter adapter>, 114
25, void doChange(), com.mikepenz.fastadapter_extensions.UndoHelper, r6 = (com.mikepenz.fastadapter.FastAdapter$RelativeInfo) $r5, 112
26, void doChange(), com.mikepenz.fastadapter_extensions.UndoHelper, $r5 = virtualinvoke $r4.<java.util.ArrayList: java.lang.Object get(int)>($i0), 110
27, void doChange(), com.mikepenz.fastadapter_extensions.UndoHelper, $r4 = $r2.<com.mikepenz.fastadapter_extensions.UndoHelper$History: java.util.ArrayList items>, 108
28, void doChange(), com.mikepenz.fastadapter_extensions.UndoHelper, $r2 = r0.<com.mikepenz.fastadapter_extensions.UndoHelper: com.mikepenz.fastadapter_extensions.UndoHelper$History mHistory>, 106
29, void doChange(), com.mikepenz.fastadapter_extensions.UndoHelper, if $i0 < 0 goto label3, 104
30, void doChange(), com.mikepenz.fastadapter_extensions.UndoHelper, $i0 = $i0 + -1, 101
31, void doChange(), com.mikepenz.fastadapter_extensions.UndoHelper, $i0 = lengthof r1, 99
