ID, Method, Class, Line, LineNo
0, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, z0 = 0, 1924, 
1, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, r7 = virtualinvoke r7.<org.fdroid.fdroid.data.AppProvider$AppQuerySelection: org.fdroid.fdroid.data.AppProvider$AppQuerySelection add(org.fdroid.fdroid.data.AppProvider$AppQuerySelection)>($r11), 1922, 
2, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, $r13 = virtualinvoke $r12.<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String;java.lang.String[])>($r3; $r2), 1869, 
3, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, $r2 = virtualinvoke r7.<org.fdroid.fdroid.data.AppProvider$AppQuerySelection: java.lang.String[] getArgs()>(), 1867, 
4, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, $r3 = virtualinvoke r5.<org.fdroid.fdroid.data.AppProvider$Query: java.lang.String toString()>(), 1865, 
5, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, $r12 = virtualinvoke r0.<org.fdroid.fdroid.data.AppProvider: android.database.sqlite.SQLiteDatabase db()>(), 1863, 
6, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, virtualinvoke r5.<org.fdroid.fdroid.data.AppProvider$Query: void addOrderBy(java.lang.String)>($r6), 1861, 
7, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, virtualinvoke r5.<org.fdroid.fdroid.data.AppProvider$Query: void addFields(java.lang.String[])>($r2), 1859, 
8, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, virtualinvoke r5.<org.fdroid.fdroid.data.AppProvider$Query: void addSelection(org.fdroid.fdroid.data.AppProvider$AppQuerySelection)>(r7), 1857, 
9, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, specialinvoke r5.<org.fdroid.fdroid.data.AppProvider$Query: void <init>(org.fdroid.fdroid.data.AppProvider;org.fdroid.fdroid.data.AppProvider$1)>(r0; null), 1855, 
10, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, $r6 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.String toString()>(), 1850, 
11, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, $r9 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" COLLATE LOCALIZED "), 1848, 
12, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, $r9 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r6), 1846, 
13, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, $r9 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("."), 1844, 
14, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, $r9 = virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r3), 1842, 
15, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, specialinvoke $r9.<java.lang.StringBuilder: void <init>()>(), 1838, 
16, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, $r9 = new java.lang.StringBuilder, 1836, 
17, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, if z0 == 0 goto label05, 1834, 
18, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, z0 = virtualinvoke $r3.<java.lang.String: boolean equals(java.lang.Object)>($r6), 1832, 
19, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, $r3 = "name", 1830, 
20, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, r7 = virtualinvoke r7.<org.fdroid.fdroid.data.AppProvider$AppQuerySelection: org.fdroid.fdroid.data.AppProvider$AppQuerySelection add(org.fdroid.fdroid.data.AppProvider$AppQuerySelection)>($r11), 1827, 
21, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, $r11 = specialinvoke r0.<org.fdroid.fdroid.data.AppProvider: org.fdroid.fdroid.data.AppProvider$AppQuerySelection queryExcludeSwap()>(), 1825, 
22, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, if z0 != 0 goto label04, 1823, 
23, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, lookupswitch($i0), 1769, 
24, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, $i0 = virtualinvoke $r8.<android.content.UriMatcher: int match(android.net.Uri)>($r1), 1767, 
25, android.database.Cursor query(android.net.Uri;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String), org.fdroid.fdroid.data.AppProvider, $r8 = <org.fdroid.fdroid.data.AppProvider: android.content.UriMatcher matcher>, 1765, 
26, android.database.sqlite.SQLiteDatabase db(), org.fdroid.fdroid.data.FDroidProvider, return $r3, 164, 
27, android.database.sqlite.SQLiteDatabase db(), org.fdroid.fdroid.data.FDroidProvider, $r3 = virtualinvoke $r2.<org.fdroid.fdroid.data.DBHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>(), 159, 
28, android.database.sqlite.SQLiteDatabase db(), org.fdroid.fdroid.data.FDroidProvider, $r2 = staticinvoke <org.fdroid.fdroid.data.FDroidProvider: org.fdroid.fdroid.data.DBHelper getOrCreateDb(android.content.Context)>($r1), 157, 
29, org.fdroid.fdroid.data.DBHelper getOrCreateDb(android.content.Context), org.fdroid.fdroid.data.FDroidProvider, return $r1, 88, 
30, org.fdroid.fdroid.data.DBHelper getOrCreateDb(android.content.Context), org.fdroid.fdroid.data.FDroidProvider, $r1 = <org.fdroid.fdroid.data.FDroidProvider: org.fdroid.fdroid.data.DBHelper dbHelper>, 83, 
31, void addOrderBy(java.lang.String), org.fdroid.fdroid.data.QueryBuilder, r0.<org.fdroid.fdroid.data.QueryBuilder: java.lang.String orderBy> = $r1, 282, 
32, void addFields(java.lang.String[]), org.fdroid.fdroid.data.QueryBuilder, i1 = i1 + 1, 266, 
33, void addFields(java.lang.String[]), org.fdroid.fdroid.data.QueryBuilder, virtualinvoke r0.<org.fdroid.fdroid.data.QueryBuilder: void addField(java.lang.String)>(r2), 264, 
34, void addFields(java.lang.String[]), org.fdroid.fdroid.data.QueryBuilder, r2 = $r1[i1], 262, 
35, void addFields(java.lang.String[]), org.fdroid.fdroid.data.QueryBuilder, if i1 >= i0 goto label2, 260, 
36, void addFields(java.lang.String[]), org.fdroid.fdroid.data.QueryBuilder, i1 = 0, 257, 
37, void addFields(java.lang.String[]), org.fdroid.fdroid.data.QueryBuilder, i0 = lengthof $r1, 255, 
38, void addField(java.lang.String), org.fdroid.fdroid.data.AppProvider$Query, specialinvoke r0.<org.fdroid.fdroid.data.AppProvider$Query: void addInstalledAppVersionCode()>(), 291, 
