ID, Method, Class, Line,
0, void onClick(android.view.View), org.gnucash.android.ui.account.DeleteAccountDialogFragment$4, $r8 = virtualinvoke $r2.<org.gnucash.android.db.AccountsDbAdapter: java.lang.String getUID(long)>($l0), 66, 
1, void onClick(android.view.View), org.gnucash.android.ui.account.DeleteAccountDialogFragment$4, $l0 = virtualinvoke $r5.<android.widget.Spinner: long getSelectedItemId()>(), 54, 
2, void onClick(android.view.View), org.gnucash.android.ui.account.DeleteAccountDialogFragment$4, $r5 = $r3.<org.gnucash.android.ui.account.DeleteAccountDialogFragment: android.widget.Spinner mTransactionsDestinationAccountSpinner>, 52, 
3, void onClick(android.view.View), org.gnucash.android.ui.account.DeleteAccountDialogFragment$4, if $z0 == 0 goto label1, 48, 
4, void onClick(android.view.View), org.gnucash.android.ui.account.DeleteAccountDialogFragment$4, $z0 = virtualinvoke $r4.<android.widget.RadioButton: boolean isChecked()>(), 46, 
5, void onClick(android.view.View), org.gnucash.android.ui.account.DeleteAccountDialogFragment$4, $r4 = $r3.<org.gnucash.android.ui.account.DeleteAccountDialogFragment: android.widget.RadioButton mMoveTransactionsRadioButton>, 44, 
6, void onClick(android.view.View), org.gnucash.android.ui.account.DeleteAccountDialogFragment$4, $r2 = staticinvoke <org.gnucash.android.db.AccountsDbAdapter: org.gnucash.android.db.AccountsDbAdapter getInstance()>(), 40, 
7, org.gnucash.android.db.AccountsDbAdapter getInstance(), org.gnucash.android.db.AccountsDbAdapter, return $r0, 339, 
8, org.gnucash.android.db.AccountsDbAdapter getInstance(), org.gnucash.android.db.AccountsDbAdapter, $r0 = staticinvoke <org.gnucash.android.app.GnuCashApplication: org.gnucash.android.db.AccountsDbAdapter getAccountsDbAdapter()>(), 337, 
9, org.gnucash.android.db.AccountsDbAdapter getAccountsDbAdapter(), org.gnucash.android.app.GnuCashApplication, return r0, 57, 
10, org.gnucash.android.db.AccountsDbAdapter getAccountsDbAdapter(), org.gnucash.android.app.GnuCashApplication, r0 = <org.gnucash.android.app.GnuCashApplication: org.gnucash.android.db.AccountsDbAdapter mAccountsDbAdapter>, 55, 
11, void onCreate(), org.gnucash.android.app.GnuCashApplication, <org.gnucash.android.app.GnuCashApplication: org.gnucash.android.db.AccountsDbAdapter mAccountsDbAdapter> = $r14, 487, 
12, void onCreate(), org.gnucash.android.app.GnuCashApplication, specialinvoke $r14.<org.gnucash.android.db.AccountsDbAdapter: void <init>(android.database.sqlite.SQLiteDatabase;org.gnucash.android.db.TransactionsDbAdapter)>($r11; $r13), 485, 
13, void onCreate(), org.gnucash.android.app.GnuCashApplication, $r11 = <org.gnucash.android.app.GnuCashApplication: android.database.sqlite.SQLiteDatabase mDb>, 481, 
14, void onCreate(), org.gnucash.android.app.GnuCashApplication, $r14 = new org.gnucash.android.db.AccountsDbAdapter, 479, 
15, void onCreate(), org.gnucash.android.app.GnuCashApplication, <org.gnucash.android.app.GnuCashApplication: android.database.sqlite.SQLiteDatabase mDb> = $r11, 458, 
16, void onCreate(), org.gnucash.android.app.GnuCashApplication, $r11 = virtualinvoke $r10.<org.gnucash.android.db.DatabaseHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>(), 455, 
17, void onCreate(), org.gnucash.android.app.GnuCashApplication, $r10 = <org.gnucash.android.app.GnuCashApplication: org.gnucash.android.db.DatabaseHelper mDbHelper>, 452, 
18, void onCreate(), org.gnucash.android.app.GnuCashApplication, <org.gnucash.android.app.GnuCashApplication: org.gnucash.android.db.DatabaseHelper mDbHelper> = $r10, 450, 
19, void onCreate(), org.gnucash.android.app.GnuCashApplication, specialinvoke $r10.<org.gnucash.android.db.DatabaseHelper: void <init>(android.content.Context)>($r5), 448, 
20, void onCreate(), org.gnucash.android.app.GnuCashApplication, $r10 = new org.gnucash.android.db.DatabaseHelper, 444, 
21, void onCreate(), org.gnucash.android.app.GnuCashApplication, $r5 = virtualinvoke r0.<org.gnucash.android.app.GnuCashApplication: android.content.Context getApplicationContext()>(), 446, 
22, void onCreate(), org.gnucash.android.app.GnuCashApplication, $r5 = virtualinvoke r0.<org.gnucash.android.app.GnuCashApplication: android.content.Context getApplicationContext()>(), 395, 
23, void <init>(android.database.sqlite.SQLiteDatabase;org.gnucash.android.db.TransactionsDbAdapter), org.gnucash.android.db.AccountsDbAdapter, r0.<org.gnucash.android.db.AccountsDbAdapter: java.lang.String LOG_TAG> = "AccountsDbAdapter", 23, 
24, void <init>(android.database.sqlite.SQLiteDatabase;org.gnucash.android.db.TransactionsDbAdapter), org.gnucash.android.db.AccountsDbAdapter, r0.<org.gnucash.android.db.AccountsDbAdapter: org.gnucash.android.db.TransactionsDbAdapter mTransactionsAdapter> = $r2, 21, 
25, void <init>(android.database.sqlite.SQLiteDatabase;org.gnucash.android.db.TransactionsDbAdapter), org.gnucash.android.db.AccountsDbAdapter, specialinvoke r0.<org.gnucash.android.db.DatabaseAdapter: void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String)>($r1; "accounts"), 19, 
