ID, Method, Class, Line, LineNo
0, long getID(java.lang.String), org.gnucash.android.db.adapter.DatabaseAdapter, $r6 = virtualinvoke $r2.<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(java.lang.String;java.lang.String[];java.lang.String;java.lang.String[];java.lang.String;java.lang.String;java.lang.String)>($r3; $r4; "uid = ?"; $r5; null; null; null), 1153, 
1, long getID(java.lang.String), org.gnucash.android.db.adapter.DatabaseAdapter, $r5[0] = $r1, 1151, 
2, long getID(java.lang.String), org.gnucash.android.db.adapter.DatabaseAdapter, $r5 = newarray (java.lang.String)[1], 1149, 
3, long getID(java.lang.String), org.gnucash.android.db.adapter.DatabaseAdapter, $r4[0] = "_id", 1147, 
4, long getID(java.lang.String), org.gnucash.android.db.adapter.DatabaseAdapter, $r4 = newarray (java.lang.String)[1], 1145, 
5, long getID(java.lang.String), org.gnucash.android.db.adapter.DatabaseAdapter, $r3 = r0.<org.gnucash.android.db.adapter.DatabaseAdapter: java.lang.String mTableName>, 1143, 
6, long getID(java.lang.String), org.gnucash.android.db.adapter.DatabaseAdapter, $r2 = r0.<org.gnucash.android.db.adapter.DatabaseAdapter: android.database.sqlite.SQLiteDatabase mDb>, 1141, 
7, void initalizeViews(), org.gnucash.android.ui.transaction.TransactionFormFragment, $l0 = virtualinvoke $r16.<org.gnucash.android.db.adapter.AccountsDbAdapter: long getID(java.lang.String)>($r4), 754, 
8, void initalizeViews(), org.gnucash.android.ui.transaction.TransactionFormFragment, $r16 = r0.<org.gnucash.android.ui.transaction.TransactionFormFragment: org.gnucash.android.db.adapter.AccountsDbAdapter mAccountsDbAdapter>, 752, 
9, void initalizeViews(), org.gnucash.android.ui.transaction.TransactionFormFragment, $r4 = r0.<org.gnucash.android.ui.transaction.TransactionFormFragment: java.lang.String mAccountUID>, 743, 
10, void initalizeViews(), org.gnucash.android.ui.transaction.TransactionFormFragment, if $z0 == 0 goto label4, 741, 
11, void initalizeViews(), org.gnucash.android.ui.transaction.TransactionFormFragment, $z0 = r0.<org.gnucash.android.ui.transaction.TransactionFormFragment: boolean mUseDoubleEntry>, 739, 
12, void onActivityCreated(android.os.Bundle), org.gnucash.android.ui.transaction.TransactionFormFragment, specialinvoke r0.<org.gnucash.android.ui.transaction.TransactionFormFragment: void initalizeViews()>(), 2039, 
13, void onActivityCreated(android.os.Bundle), org.gnucash.android.ui.transaction.TransactionFormFragment, if $r11 != null goto label6, 2035, 
14, void onActivityCreated(android.os.Bundle), org.gnucash.android.ui.transaction.TransactionFormFragment, $r11 = r0.<org.gnucash.android.ui.transaction.TransactionFormFragment: org.gnucash.android.model.Transaction mTransaction>, 2033, 
15, void onActivityCreated(android.os.Bundle), org.gnucash.android.ui.transaction.TransactionFormFragment, r0.<org.gnucash.android.ui.transaction.TransactionFormFragment: java.lang.String mAccountUID> = $r3, 1954, 
16, void onActivityCreated(android.os.Bundle), org.gnucash.android.ui.transaction.TransactionFormFragment, $r3 = virtualinvoke $r1.<android.os.Bundle: java.lang.String getString(java.lang.String)>("account_uid"), 1952, 
17, void onActivityCreated(android.os.Bundle), org.gnucash.android.ui.transaction.TransactionFormFragment, $r1 = virtualinvoke r0.<org.gnucash.android.ui.transaction.TransactionFormFragment: android.os.Bundle getArguments()>(), 1950, 
18, void onActivityCreated(android.os.Bundle), org.gnucash.android.ui.transaction.TransactionFormFragment, if $z0 != 0 goto label1, 1939, 
19, void onActivityCreated(android.os.Bundle), org.gnucash.android.ui.transaction.TransactionFormFragment, $z0 = r0.<org.gnucash.android.ui.transaction.TransactionFormFragment: boolean mUseDoubleEntry>, 1937, 
20, void onActivityCreated(android.os.Bundle), org.gnucash.android.ui.transaction.TransactionFormFragment, r0.<org.gnucash.android.ui.transaction.TransactionFormFragment: boolean mUseDoubleEntry> = $z0, 1935, 
21, void onActivityCreated(android.os.Bundle), org.gnucash.android.ui.transaction.TransactionFormFragment, $z0 = interfaceinvoke $r2.<android.content.SharedPreferences: boolean getBoolean(java.lang.String;boolean)>($r3; 0), 1933, 
22, void onActivityCreated(android.os.Bundle), org.gnucash.android.ui.transaction.TransactionFormFragment, $r3 = virtualinvoke r0.<org.gnucash.android.ui.transaction.TransactionFormFragment: java.lang.String getString(int)>(2131296887), 1931, 
23, void onActivityCreated(android.os.Bundle), org.gnucash.android.ui.transaction.TransactionFormFragment, $r2 = staticinvoke <org.gnucash.android.ui.settings.PreferenceActivity: android.content.SharedPreferences getActiveBookSharedPreferences()>(), 1929, 
24, void onActivityCreated(android.os.Bundle), org.gnucash.android.ui.transaction.TransactionFormFragment, virtualinvoke r0.<org.gnucash.android.ui.transaction.TransactionFormFragment: void setHasOptionsMenu(boolean)>(1), 1927, 
25, void onActivityCreated(android.os.Bundle), org.gnucash.android.ui.transaction.TransactionFormFragment, specialinvoke r0.<android.support.v4.app.Fragment: void onActivityCreated(android.os.Bundle)>($r1), 1925, 
26, void <init>(android.database.sqlite.SQLiteDatabase), org.gnucash.android.db.adapter.RecurrenceDbAdapter, specialinvoke r0.<org.gnucash.android.db.adapter.DatabaseAdapter: void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String;java.lang.String[])>($r1; "recurrences"; $r2), 24, 
27, void <init>(android.database.sqlite.SQLiteDatabase), org.gnucash.android.db.adapter.BudgetAmountsDbAdapter, specialinvoke r0.<org.gnucash.android.db.adapter.DatabaseAdapter: void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String;java.lang.String[])>($r1; "budget_amounts"; $r2), 24, 
28, void <init>(), org.gnucash.android.ui.common.FormActivity, specialinvoke r0.<org.gnucash.android.ui.passcode.PasscodeLockActivity: void <init>()>(), 34, 
29, void <init>(), org.gnucash.android.ui.passcode.PasscodeLockActivity, specialinvoke r0.<android.support.v7.app.AppCompatActivity: void <init>()>(), 9, 
30, void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String;java.lang.String[]), org.gnucash.android.db.adapter.DatabaseAdapter, r0.<org.gnucash.android.db.adapter.DatabaseAdapter: android.database.sqlite.SQLiteDatabase mDb> = $r1, 34, 
31, void <init>(android.database.sqlite.SQLiteDatabase;java.lang.String;java.lang.String[]), org.gnucash.android.db.adapter.DatabaseAdapter, r0.<org.gnucash.android.db.adapter.DatabaseAdapter: java.lang.String mTableName> = $r2, 32, 
32, void initializeDatabaseAdapters(), org.gnucash.android.app.GnuCashApplication, <org.gnucash.android.app.GnuCashApplication: org.gnucash.android.db.adapter.TransactionsDbAdapter mTransactionsDbAdapter> = $r7, 356, 
33, void initializeDatabaseAdapters(), org.gnucash.android.app.GnuCashApplication, specialinvoke $r7.<org.gnucash.android.db.adapter.TransactionsDbAdapter: void <init>(android.database.sqlite.SQLiteDatabase;org.gnucash.android.db.adapter.SplitsDbAdapter)>($r2; $r6), 354, 
34, void initializeDatabaseAdapters(), org.gnucash.android.app.GnuCashApplication, specialinvoke $r13.<org.gnucash.android.db.adapter.BudgetAmountsDbAdapter: void <init>(android.database.sqlite.SQLiteDatabase)>($r2), 394, 
35, void initializeDatabaseAdapters(), org.gnucash.android.app.GnuCashApplication, specialinvoke $r9.<org.gnucash.android.db.adapter.RecurrenceDbAdapter: void <init>(android.database.sqlite.SQLiteDatabase)>($r2), 368, 
36, void initializeDatabaseAdapters(), org.gnucash.android.app.GnuCashApplication, $r2 = virtualinvoke $r1.<org.gnucash.android.db.DatabaseHelper: android.database.sqlite.SQLiteDatabase getWritableDatabase()>(), 341, 
37, void initializeDatabaseAdapters(), org.gnucash.android.app.GnuCashApplication, $r1 = <org.gnucash.android.app.GnuCashApplication: org.gnucash.android.db.DatabaseHelper mDbHelper>, 338, 
38, void initializeDatabaseAdapters(), org.gnucash.android.app.GnuCashApplication, <org.gnucash.android.app.GnuCashApplication: org.gnucash.android.db.DatabaseHelper mDbHelper> = $r1, 336, 
39, void initializeDatabaseAdapters(), org.gnucash.android.app.GnuCashApplication, specialinvoke $r1.<org.gnucash.android.db.DatabaseHelper: void <init>(android.content.Context;java.lang.String)>($r3; $r5), 334, 
40, void initializeDatabaseAdapters(), org.gnucash.android.app.GnuCashApplication, $r5 = virtualinvoke $r4.<org.gnucash.android.db.adapter.BooksDbAdapter: java.lang.String getActiveBookUID()>(), 332, 
41, void initializeDatabaseAdapters(), org.gnucash.android.app.GnuCashApplication, $r3 = staticinvoke <org.gnucash.android.app.GnuCashApplication: android.content.Context getAppContext()>(), 328, 
42, void initializeDatabaseAdapters(), org.gnucash.android.app.GnuCashApplication, $r1 = new org.gnucash.android.db.DatabaseHelper, 326, 
43, void onCreate(), org.gnucash.android.app.GnuCashApplication, <org.gnucash.android.app.GnuCashApplication: android.content.Context context> = $r4, 665, 
44, void onCreate(), org.gnucash.android.app.GnuCashApplication, $r4 = virtualinvoke r0.<org.gnucash.android.app.GnuCashApplication: android.content.Context getApplicationContext()>(), 663, 
45, void onCreate(), org.gnucash.android.app.GnuCashApplication, specialinvoke r0.<android.app.Application: void onCreate()>(), 661, 
46, void loadBook(java.lang.String), org.gnucash.android.app.GnuCashApplication, staticinvoke <org.gnucash.android.app.GnuCashApplication: void activateBook(java.lang.String)>($r0), 493, 
47, void activateBook(java.lang.String), org.gnucash.android.app.GnuCashApplication, staticinvoke <org.gnucash.android.app.GnuCashApplication: void initializeDatabaseAdapters()>(), 43, 
48, android.content.Context getAppContext(), org.gnucash.android.app.GnuCashApplication, return r0, 94, 
49, android.content.Context getAppContext(), org.gnucash.android.app.GnuCashApplication, r0 = <org.gnucash.android.app.GnuCashApplication: android.content.Context context>, 92, 
50, java.lang.Object doInBackground(java.lang.Object[]), org.gnucash.android.importer.ImportAsyncTask, $r1 = virtualinvoke r0.<org.gnucash.android.importer.ImportAsyncTask: java.lang.Boolean doInBackground(android.net.Uri[])>($r3), 223, 
51, java.lang.Object doInBackground(java.lang.Object[]), org.gnucash.android.importer.ImportAsyncTask, $r3 = (android.net.Uri[]) $r2, 221, 
52, java.lang.Boolean doInBackground(android.net.Uri[]), org.gnucash.android.importer.ImportAsyncTask, r0.<org.gnucash.android.importer.ImportAsyncTask: java.lang.String mImportedBookUID> = $r8, 89, 
53, java.lang.Boolean doInBackground(android.net.Uri[]), org.gnucash.android.importer.ImportAsyncTask, $r8 = staticinvoke <org.gnucash.android.importer.GncXmlImporter: java.lang.String parse(java.io.InputStream)>($r7), 87, 
54, java.lang.Boolean doInBackground(android.net.Uri[]), org.gnucash.android.importer.ImportAsyncTask, $r7 = virtualinvoke $r5.<android.content.ContentResolver: java.io.InputStream openInputStream(android.net.Uri)>($r6), 85, 
55, java.lang.Boolean doInBackground(android.net.Uri[]), org.gnucash.android.importer.ImportAsyncTask, $r6 = $r1[0], 83, 
56, java.lang.Boolean doInBackground(android.net.Uri[]), org.gnucash.android.importer.ImportAsyncTask, $r5 = virtualinvoke $r4.<android.app.Activity: android.content.ContentResolver getContentResolver()>(), 81, 
57, java.lang.Boolean doInBackground(android.net.Uri[]), org.gnucash.android.importer.ImportAsyncTask, $r4 = r0.<org.gnucash.android.importer.ImportAsyncTask: android.app.Activity mContext>, 79, 
58, void onPostExecute(java.lang.Boolean), org.gnucash.android.importer.ImportAsyncTask, staticinvoke <org.gnucash.android.app.GnuCashApplication: void loadBook(java.lang.String)>($r5), 286, 
59, void onPostExecute(java.lang.Boolean), org.gnucash.android.importer.ImportAsyncTask, $r5 = r0.<org.gnucash.android.importer.ImportAsyncTask: java.lang.String mImportedBookUID>, 287, 
60, void onPostExecute(java.lang.Boolean), org.gnucash.android.importer.ImportAsyncTask, if $r5 == null goto label11, 285, 
61, void onPostExecute(java.lang.Boolean), org.gnucash.android.importer.ImportAsyncTask, $r5 = r0.<org.gnucash.android.importer.ImportAsyncTask: java.lang.String mImportedBookUID>, 283, 
62, java.lang.String getActiveBookUID(), org.gnucash.android.db.adapter.BooksDbAdapter, return $r2, 345, 
63, java.lang.String getActiveBookUID(), org.gnucash.android.db.adapter.BooksDbAdapter, $r2 = interfaceinvoke $r4.<android.database.Cursor: java.lang.String getString(int)>($i0), 340, 
