ID, Method, Class, Line,
0, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, specialinvoke $r14.<java.net.URI: void <init>(java.lang.String;java.lang.String;java.lang.String;int;java.lang.String;java.lang.String;java.lang.String)>($r3; $r4; r6; $i0; r5; null; null), 153
1, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, $r4 = <com.fsck.k9.mail.ServerSettings$Type: com.fsck.k9.mail.ServerSettings$Type IMAP>, 687
2, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, $r4 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.String toString()>(), 197
3, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, $r10 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r5), 195
4, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, $r10 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(":"), 193
5, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, $r10 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r4), 191
6, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, $r10 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r6), 187
7, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, r6 = virtualinvoke r1.<com.fsck.k9.mail.AuthType: java.lang.String name()>(), 185
8, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, specialinvoke $r10.<java.lang.StringBuilder: void <init>()>(), 183
9, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, $r10 = new java.lang.StringBuilder, 181
10, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, r6 = "", 166
11, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, r6 = $r0.<com.fsck.k9.mail.ServerSettings: java.lang.String host>, 148
12, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, r14 = new java.net.URI, 146
13, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, r5 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.String toString()>(), 143
14, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, $r10 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r5), 141
15, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, r5 = "", 138
16, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, $r10 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("|"), 133
17, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, $r10 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r6), 131
18, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, r6 = "1", 128
19, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, $r10 = virtualinvoke $r10.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("/"), 123
20, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, r5 = virtualinvoke r1.<com.fsck.k9.mail.AuthType: java.lang.String name()>(), 83
21, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, r1 = $r0.<com.fsck.k9.mail.ServerSettings: com.fsck.k9.mail.AuthType authenticationType>;, 73
22, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, $r3 = "imap", 70
23, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, lookupswitch($i0), 62
24, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, i0 = $r7[$i0], 60
25, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, $i0 = virtualinvoke $r8.<com.fsck.k9.mail.ConnectionSecurity: int ordinal()>(), 58
26, java.lang.String create(com.fsck.k9.mail.ServerSettings), com.fsck.k9.mail.store.imap.ImapStoreUriCreator, r8 = $r0.<com.fsck.k9.mail.ServerSettings: com.fsck.k9.mail.ConnectionSecurity connectionSecurity>, 56
